subid	maindown	area	latitude	longitude	elev_mean	slope_mean	rivlen	SLC_1	SLC_2	SLC_3	SLC_4	SLC_5	SLC_6	SLC_7	SLC_8	SLC_9	SLC_10	SLC_11	SLC_12	SLC_13	SLC_14	SLC_15	SLC_16	SLC_17	SLC_18	SLC_19	SLC_20	SLC_21	SLC_22
71029057	71028727	133940702.11248143	50.3365563881475	-114.46193057551481	1230.19287109375	0.003610658145	33724.9687495239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4091456054697628	0.0	0.0524213743898605	0.3089026697199916	0.0	0.0	0.0	0.0	0.0	0.0	0.0791395724923489	0.0813980093156778	0.0	0.0	0.0689927686123582
71035289	71035238	10121263.680596245	51.65829767564711	-115.30689690086282	1684.833984375	0.008095123392	4898.592969449562	0.0	0.0	0.0764345017160912	0.0	0.0	0.0	0.0	0.2360966902808422	0.0	0.109441056977933	0.5780277510251335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71028961	71028865	40322232.60619152	52.25760653842808	-114.48982127279073	1910.76525878906	0.006409870499	6738.435682811768	0.0	0.0	0.1857100351026233	0.0	0.0	0.0	0.0	0.0	0.0	0.1995802401618998	0.6147097247354768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71029118	71028159	37798998.13588132	52.190003961041995	-114.39699380213447	1786.61096191406	0.008696666036	15222.705237194774	0.0	0.0	0.2501919591111758	0.0	0.0	0.0	0.0	0.0	0.0	0.1290611871190134	0.6207468537698108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71023103	71023020	42990291.85562116	51.79126085069443	-115.13815197172627	955.515930175781	0.000689928989	5784.460098174113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1164849844013211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8835150155986788	0.0	0.0	0.0
71029022	71029016	148411749.3378761	52.19620776816533	-114.08111885435554	1542.31921386719	0.006422613937	311.066868808836	0.0	0.0	0.0	0.0	0.6221884163305128	0.0	0.0	0.0	0.0	0.0	0.3778115836694872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71028945	71028893	57980972.31752554	51.32445917703885	-116.18446057031402	1083.1044921875	0.000951040626	5460.043280765683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1261042062047339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8738957937952662	0.0	0.0	0.0
71022220	71022209	122139444.35731868	51.954415909189784	-114.91094746227091	980.116760253906	0.00048742959	10648.7347672181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1367409602195149	0.0	0.0	0.1097435393537278	0.0	0.0	0.0	0.0	0.0	0.0	0.1095729167450898	0.6439425836816675	0.0	0.0	0.0
71028221	71028189	65036018.41428234	51.488733806419724	-115.92482114860951	1847.58850097656	0.010794503702	8992.856280558599	0.0	0.0	0.3072386286997753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6927613713002246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71023104	71022992	105589891.67987393	51.843486938322606	-114.17089612016058	945.11767578125	0.000262197386	10279.578032555602	0.0	0.0	0.0	0.0	0.0598076446686899	0.0	0.0	0.0831229030937794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8570694522375306	0.0	0.0	0.0
71029016	71028974	42897184.22567618	51.31736721496736	-114.35050811987271	1663.63671875	0.004952888078	2883.134709479906	0.0	0.0	0.0	0.0	0.1435885356088798	0.0	0.0	0.0	0.0	0.0	0.8564114643911201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71028867	71028722	43028396.67837403	51.321087954270496	-115.64915404514532	1167.39636230469	0.002188343797	22084.06634781803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2252325328330844	0.0	0.0553399846888876	0.0986415523596568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.620785930118371	0.0	0.0	0.0
71022209	71022198	40980774.356274314	51.95022286319256	-114.16666072508852	970.798217773438	0.000242128081	7005.477400859661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1503867453909374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8496132546090627	0.0	0.0	0.0
