subid	maindown	area	latitude	longitude	elev_mean	slope_mean	rivlen	SLC_1	SLC_2	SLC_3	SLC_4	SLC_5	SLC_6	SLC_7	SLC_8	SLC_9	SLC_10	SLC_11	SLC_12	SLC_13	SLC_14	SLC_15	SLC_16	SLC_17	SLC_18	SLC_19
71033367	71022426	53038534.3768481	51.965258085511216	-113.91162052334711	5	0.000853376466	6082.238302610673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
71033035	71028498	53073385.116539195	51.86727227904789	-114.70991768618799	5	0.009258499364	7888.019918781746	0.0	0.0	0.0	0.0	0.0	0.4529549922425182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5470450077574818	0.0	0.0
71025799	71024082	53503977.326680355	52.46292390628594	-114.60863535224644	5	0.005291727911	11471.898312524943	0.0	0.0	0.0	0.0	0.0	0.2300636049188992	0.0	0.0	0.0693255251110079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6360863996574962	0.0	0.0645244703125966
71026037	71024128	53987005.9687151	52.54936789979613	-114.76333924005594	5	0.003666124002	7354.4252006941415	0.0	0.0	0.0	0.0	0.0	0.1930146614376418	0.0	0.0	0.1150862200675184	0.0	0.0	0.0	0.0	0.0	0.0	0.0852193012502982	0.5351430618647643	0.0	0.071536755379777
71025440	71023674	53997590.50883186	52.35017040468064	-114.77815967820564	5	0.00062596599	6219.805762092652	0.0	0.0	0.0	0.0	0.0	0.1934537473560208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1168463790922663	0.6896998735517127	0.0	0.0
71030431	71028073	54398204.79394293	50.99675024925225	-115.24250199401787	5	0.035985238625	3422.178642470589	0.0	0.1754174088383996	0.0	0.0	0.0	0.0696482227891755	0.0	0.116706832668895	0.63822753570353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71031181	71027981	55251178.795898475	51.28316634146344	-114.72191382113824	5	0.012165485204	8010.375689115536	0.0	0.0	0.0	0.0	0.0	0.3337412291809506	0.0	0.211373611462857	0.4548851593561923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71032048	71029930	55322363.353932746	51.52477900552492	-114.9042151303675	5	0.005231277707	8321.832319032283	0.0	0.0	0.0	0.0	0.0	0.5004847122772239	0.0	0.0	0.499515287722776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71032090	71029064	55500189.17712997	51.55070039912458	-115.46081748100951	5	0.022829858011	9472.43124185812	0.0	0.3521587046034455	0.0	0.0	0.0	0.0	0.0	0.0787138993301219	0.5691273960664325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71032217	71029992	56835431.44744057	51.59767724817888	-116.22440490768652	5	0.017709585359	8122.008301256509	0.0	0.4739601590843587	0.0	0.0	0.0	0.0	0.0604617312636567	0.157443651586458	0.3081344580655266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71031642	71030243	57014545.36853978	51.41810669620408	-115.57491963612355	5	0.033134796257	6873.409422941549	0.0	0.697777648379144	0.0	0.0	0.0	0.0	0.0	0.1296918912990622	0.1725304603217937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71031561	71030191	57098140.45259838	51.38959075068289	-115.84578137264154	5	0.011560392825	6646.957168018336	0.0	0.6543578004739783	0.0	0.0	0.0	0.0	0.0	0.0974883073203597	0.248153892205662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71033120	71029057	57417527.51916797	51.89579542998301	-115.22003504708961	5	0.012459799681	17788.02384065793	0.0	0.0	0.0	0.0	0.0	0.1282024638622567	0.0	0.0907648172550609	0.7810327188826823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71031359	71028904	57980972.31752554	51.32445917703885	-116.18446057031402	5	0.037775430899	9302.115395811807	0.0	0.5250048683813373	0.0	0.0	0.0	0.0	0.0710140859809548	0.0	0.4039810456377078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71032200	71028893	58064259.884747066	51.57851789502811	-114.25812125265175	5	0.002078665543	4947.038816301637	0.0	0.0	0.0	0.0	0.0586580914167906	0.0558430982848384	0.0	0.0534535532550331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8320452570433378	0.0	0.0
71038637	71036324	58074005.509732224	50.76415141561077	-115.40712247770995	5	0.010743849184	9223.01628351266	0.0	0.2820762933308494	0.0	0.0	0.0	0.1272202003326677	0.0	0.1034940062576512	0.4872095000788316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71031529	71030308	58711631.21044485	51.39377320327286	-115.42111780240582	5	0.017146140873	4892.956557751121	0.0	0.7289062267185703	0.0	0.0	0.0	0.0	0.0	0.0	0.2710937732814297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71032972	71030202	58781382.30587972	51.848832955917864	-114.97119610507256	5	0.003801564998	6484.254258508325	0.0	0.0	0.0	0.0	0.0	0.5512407790263535	0.0	0.1103551547899324	0.1935256182762814	0.0	0.0	0.0	0.0	0.0	0.0	0.0544215459008694	0.0	0.0	0.0904569020065632
71032838	71028847	58807907.321404904	51.79529331339134	-115.52885665941507	5	0.026567560527	8887.657965095643	0.0	0.2655950431974853	0.0	0.0	0.0	0.0534382814192586	0.0	0.1584762288266469	0.5224904465566091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71033247	71028546	58860379.34678537	51.90288391458853	-114.40017633417646	5	0.005189622807	6944.215874982767	0.0	0.0	0.0574228742140129	0.0	0.0	0.1155566294621083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8270204963238786	0.0	0.0
71031279	71028968	59616502.96363845	51.30480418737761	-115.05879349299595	5	0.019438033144	9494.879585388726	0.0	0.0	0.0	0.0	0.0	0.3790620501863081	0.0	0.1132476529356862	0.5076902968780057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71038278	71035692	60468572.19733105	50.64291403096566	-115.05055703656843	5	0.026027907556	9764.677159008046	0.0	0.2651020168064844	0.0	0.0	0.0	0.0581859502103812	0.0	0.1019421925206995	0.5747698404624347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71030428	71028132	60589048.94713536	50.994761734252364	-114.67834653716459	5	0.007882331793	4696.432211492742	0.0	0.0	0.0	0.0	0.0	0.7820183140193441	0.0	0.0	0.2179816859806559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71031849	71030231	61204584.8841065	51.48050483790817	-115.54408094361135	5	0.024663580172	7290.077047823359	0.0	0.6965118451557349	0.0	0.0	0.0	0.0	0.0	0.0967992381181901	0.2066889167260748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71024474	71022253	61958059.42878683	52.01749229452049	-114.7724871575345	5	0.007560981847	13372.701864003802	0.0	0.0	0.0	0.0	0.0	0.4002440514094462	0.0	0.0	0.1538494636425809	0.0	0.0	0.0	0.0	0.0	0.0	0.0896404689116764	0.211069569386976	0.0	0.1451964466493202
71032795	71030265	62052530.353642255	51.76915040685368	-114.91116390178252	5	0.005808003044	6087.184350323422	0.0	0.0	0.0	0.0	0.0	0.5888344116713923	0.0	0.0619944764118938	0.2693024517952262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0798686601214877
71024996	71022647	62183472.15448619	52.20348695947676	-114.18533443774264	5	0.00107639278	7237.875298993731	0.0	0.0	0.0	0.0	0.0	0.0704090536713544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9295909463286456	0.0	0.0
71031922	71030057	62380276.16224746	51.50807320778517	-115.82450053028353	5	0.020027729532	9821.58706403756	0.0	0.5883332063138531	0.0	0.0	0.0	0.0	0.0	0.1188537289961943	0.2928130646899526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71026015	71024128	62882398.15564393	52.53473767233717	-114.83358183233275	5	0.00419856943	9676.874581410717	0.0	0.0	0.0	0.0	0.0	0.2164548526947828	0.0	0.0	0.2749058646197501	0.0	0.0	0.0	0.0	0.0	0.0	0.1117268446188421	0.3166993604940558	0.0	0.080213077572569
71030717	71028095	64243157.17899986	51.12212251971604	-115.30232795879995	5	0.043334793349	7973.679613053814	0.0	0.5143059785124939	0.1004144889336293	0.0	0.0	0.0	0.0	0.1036405415159857	0.281638991037891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71026036	71023895	64982043.50909205	52.551148664999666	-114.65808488612858	5	0.002948682635	12761.667813846138	0.0	0.0	0.0	0.0	0.0	0.2211080397037892	0.0	0.0	0.0726889861975201	0.0	0.0	0.0	0.0	0.0	0.0	0.0821144351510861	0.5236356674770652	0.0	0.1004528714705392
71031850	71030034	65036018.41428234	51.488733806419724	-115.92482114860951	5	0.01289041221	12908.67691750062	0.0	0.5135175811629731	0.0	0.0	0.0	0.0	0.1224251809063631	0.0754015400446404	0.2886556978860233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71031838	71030287	65100839.96473467	51.46184022049939	-116.01221626525908	5	0.039715167247	5463.742203729762	0.0	0.5443397362793673	0.0	0.0	0.0	0.0725533071784969	0.0	0.155213605435076	0.2278933511070597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71030950	71028140	65482776.34958542	51.183045083319556	-115.36799929879552	5	0.035465166443	11227.447194239	0.0	0.3139351758913694	0.0	0.0	0.0	0.0	0.0	0.2045230281574794	0.4815417959511512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71032409	71030270	65791372.03163639	51.66166883363126	-116.17610386532309	5	0.016693233524	6012.001960832327	0.0	0.5942441895335709	0.0	0.0	0.0	0.0632776267551434	0.0	0.1158837895420686	0.2265943941692169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71030690	71029798	65968963.82496796	51.106573299431254	-115.77731538440517	5	0.036291275138	7969.491235840515	0.0	0.2450663488006004	0.0	0.0	0.0	0.0580362875280215	0.0	0.2126059134436312	0.4842914502277466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71031931	71029334	66504981.169424795	51.500889332580535	-114.22852976766725	5	0.003392703535	10239.438984978256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
71030660	71028007	67003674.087591976	51.10570311448495	-114.89519152601697	5	0.009524146592	14266.48043619816	0.0	0.0	0.0	0.0	0.0	0.5395054052896068	0.0	0.0743098003496514	0.3861847943607419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
